anon_institution_code,institution_id,mapping_status,evidence_reference,mapping_version
D4936,inst_0029,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D4937,inst_0030,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D4:34,inst_0031,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D4:36,inst_0032,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D4:37,inst_0033,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D4:38,inst_0034,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D4;34,inst_0035,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D4;45,inst_0036,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D4;46,inst_0037,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D4<34,inst_0038,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D5334,inst_0039,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D5336,inst_0040,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D5337,inst_0041,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D5338,inst_0042,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D5434,inst_0043,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D5436,inst_0044,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D5534,inst_0045,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D5634,inst_0046,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D5636,inst_0047,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D5734,inst_0048,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D5736,inst_0049,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D5834,inst_0050,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
D5836,inst_0051,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3434,inst_0052,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3444,inst_0053,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3445,inst_0054,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3446,inst_0055,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3447,inst_0056,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3484,inst_0057,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3485,inst_0058,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3486,inst_0059,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3534,inst_0060,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3544,inst_0061,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3545,inst_0062,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3634,inst_0063,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3646,inst_0064,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3647,inst_0065,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3684,inst_0066,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3685,inst_0067,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3734,inst_0068,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3834,inst_0069,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3934,inst_0070,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3:34,inst_0071,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3:44,inst_0072,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3;34,inst_0073,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E3<34,inst_0074,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E4334,inst_0075,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E4344,inst_0076,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E4345,inst_0077,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E4346,inst_0078,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E4434,inst_0079,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E4534,inst_0080,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E4634,inst_0081,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E4734,inst_0082,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E4834,inst_0083,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E4934,inst_0084,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E4944,inst_0085,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
E4945,inst_0086,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3434,inst_0087,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3436,inst_0088,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3534,inst_0089,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3544,inst_0090,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3546,inst_0091,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3547,inst_0092,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3548,inst_0093,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F354:,inst_0094,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F354;,inst_0095,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3584,inst_0096,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3585,inst_0097,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3586,inst_0098,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3587,inst_0099,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3588,inst_0100,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F358:,inst_0101,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F358;,inst_0102,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F358<,inst_0103,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3634,inst_0104,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3734,inst_0105,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3834,inst_0106,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3844,inst_0107,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3845,inst_0108,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3934,inst_0109,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3:34,inst_0110,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3;34,inst_0111,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
F3;36,inst_0112,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
G3434,inst_0113,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
G3444,inst_0114,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
G3445,inst_0115,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
G3446,inst_0116,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
G3447,inst_0117,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
G3448,inst_0118,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
G3449,inst_0119,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
G344:,inst_0120,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
G344;,inst_0121,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
G344<,inst_0122,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
G3453,inst_0123,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
G3454,inst_0124,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
G3455,inst_0125,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
G3456,inst_0126,verified_by_on_hand_agreement,"scripts/verify_institution_mapping.py 2026-08-14 — DB on_hand 대조 재고 일치 99.52% (한 칸 민 대조군 16.24%, 83.28%p 우위)",sorted-zip-verified-v1
