korean	english
라이언	PROMO_MATERIAL
라타노프로스트	LATANOPROST
라텍스	NON_INGREDIENT_SPEC
라푸티딘	LAFUTIDINE
락토바실루스카제이변종람노수스	LACTOBACILLUS_RHAMNOSUS
락툴로오스액	LACTULOSE
락툴로오즈농축액	LACTULOSE
락티톨일수화물	LACTITOL
란셋	LANCET
란소프라졸	LANSOPRAZOLE
란소프라졸과립	LANSOPRAZOLE
랄테그라빌칼륨	RALTEGRAVIR
래피드	NON_INGREDIENT_SPEC
레르카니디핀염산염	LERCANIDIPINE
레바미피드	REBAMIPIDE
레보노르게스트렐	LEVONORGESTREL
레보드로프로피진	LEVODROPROPIZINE
레보설피리드	LEVOSULPIRIDE
레보클로페라스틴펜디조산염	LEVOCLOPERASTINE
레보티록신나트륨수화물	LEVOTHYROXINE
레보플록사신	LEVOFLOXACIN
레보플록사신_수화물	LEVOFLOXACIN
레보플록사신수화물	LEVOFLOXACIN
레비티라세탐	LEVETIRACETAM
레프루노미드	LEFLUNOMIDE
로라제팜	LORAZEPAM
로라타딘	LORATADINE
로모소주맙_유전자재조합	ROMOSOZUMAB
로베글리타존황산염	LOBEGLITAZONE
로사르탄칼륨	LOSARTAN
로수바스타틴칼슘	ROSUVASTATIN
로수바스타틴칼슘염	ROSUVASTATIN
로자탄칼륨	LOSARTAN
로쿠로늄브롬화물	ROCURONIUM
로페라미드염산염	LOPERAMIDE
로피바카인염산염일수화물	ROPIVACAINE
록사티딘아세테이트염산염	ROXATIDINE_ACETATE
록소프로펜나트륨	LOXOPROFEN
록소프로펜나트륨수화물	LOXOPROFEN
록시트로마이신	ROXITHROMYCIN
루파타딘푸마르산염	RUPATADINE
류프로렐린아세트산염	LEUPRORELIN
리나글립틴	LINAGLIPTIN
리나글립틴베실산염	LINAGLIPTIN
리마프로스트알파덱스	LIMAPROST
리마프로스트알파시클로덱스트린포접화합물	LIMAPROST
리바록사반	RIVAROXABAN
리바스티그민타르타르산염	RIVASTIGMINE
리보플라빈포스페이트나트륨	RIBOFLAVIN_SODIUM_PHOSPHATE
리세드론산나트륨	RISEDRONATE
리세드론산나트륨일수화물	RISEDRONATE
리스페리돈	RISPERIDONE
리팍시민	RIFAXIMIN
리팜피신	RIFAMPICIN
마니디핀염산염	MANIDIPINE
마킹와이어샘플백	MEDICAL_SUPPLY_MISC
만통고	HANBANG_HERBAL_EXTRACT
말레인산에날라프릴	ENALAPRIL
말레인산트리메부틴	TRIMEBUTINE
메게스트롤아세테이트	MEGESTROL
메딕코튼스왑	COTTON_GAUZE
메로페넴삼수화물	MEROPENEM
메만틴염산염	MEMANTINE
메실산독사조신	DOXAZOSIN
메실산프리디놀	PRIDINOL
메칠프레드니솔론나트륨호박산염	METHYLPREDNISOLONE_SODIUM_SUCCINATE
메퀴타진	MEQUITAZINE
메토카르바몰	METHOCARBAMOL
메토클로프라미드	METOCLOPRAMIDE
메토클로프라미드염산염	METOCLOPRAMIDE
메토클로프라미드염산염수화물	METOCLOPRAMIDE
메톡시폴리에칠렌_글리콜에포에틴_베타	METHOXY_POLYETHYLENE_GLYCOL_EPOETIN_BETA
메트로니다졸	METRONIDAZOLE
메트로니다졸제제	METRONIDAZOLE
메티마졸	METHIMAZOLE
메틸알콜	METHANOL
메틸에르고메트린말레산염	METHYLERGOMETRINE
메틸올세팔렉신리시네이트	CEFALEXIN_LYSINATE
메틸프레드니솔론	METHYLPREDNISOLONE
메틸프레드니솔론숙시네이트나트륨	METHYLPREDNISOLONE
메틸프레드니솔론아세포네이트	METHYLPREDNISOLONE_ACEPONATE
메틸프레드니솔론아세폰산염	METHYLPREDNISOLONE_ACEPONATE
메피바카인염산염	MEPIVACAINE
멜라토닌	MELATONIN
멜록시캄	MELOXICAM
멸균	NON_INGREDIENT_SPEC
모니플루메이트	MORNIFLUMATE
모메타손푸로에이트	MOMETASONE_FUROATE
모메타손푸로에이트일수화물	MOMETASONE_FUROATE
모바일용	NON_INGREDIENT_SPEC
모사프리드시트르산염	MOSAPRIDE
모사프리드시트르산염수화물	MOSAPRIDE
모사프리드시트르산염이수화물	MOSAPRIDE
목시플록사신	MOXIFLOXACIN
목시플록사신염산염	MOXIFLOXACIN
몬테루카스트나트륨	MONTELUKAST
무색소	NON_INGREDIENT_SPEC
무수아토르바스타틴칼슘	ATORVASTATIN
무수액체라놀린	LANOLIN
무피로신	MUPIROCIN
무피로신칼슘	MUPIROCIN
미노사이클린염산염	MINOCYCLINE
미다졸람	MIDAZOLAM
미도드린염산염	MIDODRINE
미라베그론	MIRABEGRON
미르타자핀	MIRTAZAPINE
미분화부데소니드	BUDESONIDE
미분화시클레소니드	CICLESONIDE
미분화플루티카손푸로에이트	FLUTICASONE_FUROATE
미세정제플라보노이드분획물	MICRONIZED_FLAVONOID_FRACTION
미세화페노피브레이트	FENOFIBRATE
미션울트라	GLUCOSE_TEST_STRIP_BRAND
미소프로스톨	MISOPROSTOL
밀크시슬건조엑스산	MILK_THISTLE_EXTRACT
밀크시슬엑스	MILK_THISTLE_EXTRACT
밀크시슬열매건조엑스	MILK_THISTLE_EXTRACT
바레니클린살리실산염	VARENICLINE
바실루스리케니포르미스균	BACILLUS_LICHENIFORMIS
바실루스서브틸리스균스트렙토코카스페시움균배양물	BACILLUS_SUBTILIS_STREPTOCOCCUS_FAECIUM
바이알	NON_INGREDIENT_SPEC
반코마이신염산염	VANCOMYCIN
발라시클로버염산염세스키하이드레이트	VALACYCLOVIR
발라시클로버염산염세스키히드레이트	VALACYCLOVIR
발라시클로비르염산염	VALACYCLOVIR
발사르탄	VALSARTAN
발프로산나트륨	VALPROATE
발프로산마그네슘	VALPROIC_ACID
방수포	MEDICAL_SUPPLY_MISC
배농산급탕	HANBANG_HERBAL_EXTRACT
베니디핀염산염	BENIDIPINE
베라파밀염산염	VERAPAMIL
베쿠로늄브롬화물	VECURONIUM
베타네콜염화물	BETHANECHOL
베타메타손포스페이트나트륨	BETAMETHASONE
베타히스틴염산염	BETAHISTINE
베포타스틴니코틴산염	BEPOTASTINE
베포타스틴베실산염	BEPOTASTINE
베포타스틴살리실산염	BEPOTASTINE
벤라팍신염산염	VENLAFAXINE
보글리보스	VOGLIBOSE
보라색	NON_INGREDIENT_SPEC
보통	NON_INGREDIENT_SPEC
보티옥세틴브롬화수소산염	VORTIOXETINE
복근	NON_INGREDIENT_SPEC
복합형	NON_INGREDIENT_SPEC
볼펜	PROMO_MATERIAL
부스피론염산염	BUSPIRONE
부테나핀염산염	BUTENAFINE
부틸스코폴라민브롬화물	BUTYLSCOPOLAMINE
부프로피온염산염	BUPROPION
붙이는_진통_소염제	TOPICAL_ANALGESIC_PATCH
브로멜라인	BROMELAIN
브롬페낙나트륨수화물	BROMFENAC
브롬화부틸스코폴라민	SCOPOLAMINE_BUTYLBROMIDE
브롬화시메트로피움	CIMETROPIUM_BROMIDE
브리모니딘타르타르산염	BRIMONIDINE
블루	NON_INGREDIENT_SPEC
비사코딜	BISACODYL
비소프롤롤푸마르산염	BISOPROLOL
비오틴	BIOTIN
비재호흡	NON_INGREDIENT_SPEC
비타민이프리퍼레이션	VITAMIN_E
비티스비니페라엽건조엑스	GRAPE_LEAF_EXTRACT
비티스비니페라엽엑스	GRAPE_LEAF_EXTRACT
비페닐디메칠디카르복실레이트	BIPHENYL_DIMETHYL_DICARBOXYLATE
비페닐디메틸디카르복실레이트	BIPHENYL_DIMETHYL_DICARBOXYLATE
빌다글립틴	VILDAGLIPTIN
빌다글립틴염산염	VILDAGLIPTIN
빌다글립틴질산염	VILDAGLIPTIN
빌베리건조엑스	BILBERRY_EXTRACT
빨강	NON_INGREDIENT_SPEC
빨강색	NON_INGREDIENT_SPEC
사람혈청알부민	HUMAN_SERUM_ALBUMIN
사르포그렐레이트염산염	SARPOGRELATE
사이클로스포린	CICLOSPORIN
사카로마이세스보울라디균	SACCHAROMYCES_BOULARDII
사카로마이세스보울라르디균	SACCHAROMYCES_BOULARDII
사쿠비트릴_발사르탄나트륨염수화물	SACUBITRIL_VALSARTAN
사포그릴레이트염산염	SARPOGRELATE
삭사글립틴수화물	SAXAGLIPTIN
산화마그네슘	MAGNESIUM_OXIDE
살부타몰황산염	SALBUTAMOL
살색	NON_INGREDIENT_SPEC
생리식염주사액	NORMAL_SALINE
설박탐나트륨_암피실린나트륨	SULBACTAM_AMPICILLIN
설파디아진은	SILVER_SULFADIAZINE
성인용	NON_INGREDIENT_SPEC
성인용흡착디프테리아_파상풍톡소이드및정제백일해혼합백신	TDAP_VACCINE
세균용	NON_INGREDIENT_SPEC
세레콕시브	CELECOXIB
세르타코나졸질산염	SERTACONAZOLE
세티리진염산염	CETIRIZINE
세파드록실수화물	CEFADROXIL
세파제돈나트륨	CEFAZEDONE
세파졸린나트륨	CEFAZOLIN
세파클러	CEFACLOR
세파클러수화물	CEFACLOR
세포배양인플루엔자표면항원백신	INFLUENZA_VACCINE
세포테탄	CEFOTETAN
세포티암염산염	CEFOTIAM
세푸록심악세틸	CEFUROXIME_AXETIL
세프디니르	CEFDINIR
세프디니르일수화물	CEFDINIR
세프디토렌피복실	CEFDITOREN_PIVOXIL
세프라딘	CEFRADINE
세프타지딤수화물	CEFTAZIDIME
세프타지딤수화물_건조탄산나트륨	CEFTAZIDIME
세프트리악손나트륨수화물	CEFTRIAXONE
세프포독심프록세틸	CEFPODOXIME_PROXETIL
세픽심수화물	CEFIXIME
센텔라정량추출물	CENTELLA_ASIATICA_EXTRACT
소경활혈탕	HANBANG_HERBAL_DECOCTION
소마트로핀_유전자재조합	SOMATROPIN
소분	NON_INGREDIENT_SPEC
소브레롤	SOBREROL
소아용	NON_INGREDIENT_SPEC
소화제	DIGESTIVE_AID
솔리페나신숙신산염	SOLIFENACIN
솔리페나신타르타르산염	SOLIFENACIN
수도에페드린염산염	PSEUDOEPHEDRINE
수마트립탄숙신산염	SUMATRIPTAN
수산화제이철수크로오스복염	IRON_SUCROSE
수산화제이철폴리말토스복염	FERRIC_HYDROXIDE_POLYMALTOSE
수액용	NON_INGREDIENT_SPEC
수크랄페이트	SUCRALFATE
수크로오스수산화제이철착염	IRON_SUCROSE
쉬운	NON_INGREDIENT_SPEC
슈도에페드린염산염	PSEUDOEPHEDRINE
슈퍼블랙	NON_INGREDIENT_SPEC
스트렙토키나제_스토렙토도르나제	STREPTOKINASE_STREPTODORNASE
스트렙토키나제_스트렙토도르나제	STREPTOKINASE_STREPTODORNASE
스티커포함	PROMO_MATERIAL
스포타임멀티가방	PROMO_MATERIAL
스피로노락톤	SPIRONOLACTONE
시메치콘	SIMETHICONE
시메트로퓸브롬화물	CIMETROPIUM_BROMIDE
시메티콘	SIMETHICONE
시클로펜톨레이트염산염	CYCLOPENTOLATE
시클로피록스	CICLOPIROX
시타글립틴염산염수화물	SITAGLIPTIN
시타글립틴인산염	SITAGLIPTIN
시타글립틴인산염수화물	SITAGLIPTIN
시프로플록사신	CIPROFLOXACIN
시프로플록사신염산염	CIPROFLOXACIN
시프로플록사신염산염수화물	CIPROFLOXACIN
신신디펜쿨	DICLOFENAC
신일제약	MANUFACTURER_NAME_NOISE
신증후출혈열백신	HANTAVIRUS_VACCINE
실라자프릴수화물	CILAZAPRIL
실로도신	SILODOSIN
실로스타졸	CILOSTAZOL
심바스타틴	SIMVASTATIN
써지코튼	COTTON_GAUZE
아고멜라틴	AGOMELATINE
아나글립틴	ANAGLIPTIN
아데노신	ADENOSINE
아로티놀롤염산염	AROTINOLOL
아리피프라졸	ARIPIPRAZOLE
아모롤핀염산염	AMOROLFINE
아미노피	AMINOPHYLLINE
아미오다론염산염	AMIODARONE
아미카신황산염	AMIKACIN
아빠랑_있으면_행복해	PROMO_MATERIAL
아세브로필린	ACEBROPHYLLINE
아세클로페낙	ACECLOFENAC
아세타졸아미드	ACETAZOLAMIDE
아스코르빈산	ASCORBIC_ACID
아시타자노라스트	ACITAZANOLAST
아젤라스틴염산염	AZELASTINE
아지트로마이신	AZITHROMYCIN
아지트로마이신수화물	AZITHROMYCIN
아질사르탄메독소밀칼륨	AZILSARTAN_MEDOXOMIL
아질사르탄메독소밀칼륨_클로르탈리돈	AZILSARTAN_MEDOXOMIL_CHLORTHALIDONE
아카보즈	ACARBOSE
아캄프로세이트칼슘	ACAMPROSATE
아쿠아	NON_INGREDIENT_SPEC
아큐첵	GLUCOSE_TEST_STRIP_BRAND
아테놀롤	ATENOLOL
아테놀올	ATENOLOL
아토르바스타틴스트론튬오수화물	ATORVASTATIN
아토르바스타틴칼슘	ATORVASTATIN
아토르바스타틴칼슘삼수화물	ATORVASTATIN
아토르바스타틴칼슘수화물	ATORVASTATIN
아토목세틴염산염	ATOMOXETINE
아토시반아세트산염	ATOSIBAN
아트로핀황산염	ATROPINE
아플로쿠알론	AFLOQUALONE
안전란셋	LANCET
알레드론산나트륨	ALENDRONATE
알렌드론산나트륨수화물	ALENDRONATE
알로글립틴벤조산염	ALOGLIPTIN
알로푸리놀	ALLOPURINOL
알모트립탄말산염	ALMOTRIPTAN
알벤다졸	ALBENDAZOLE
알코올솜	ALCOHOL_SWAB
알콜솜	ALCOHOL_SWAB
알티옥트산트로메타민염	ALPHA_LIPOIC_ACID
알파칼시돌	ALFACALCIDOL
알푸조신염산염	ALFUZOSIN
알프라졸람	ALPRAZOLAM
애니릴리프_대형	NON_INGREDIENT_SPEC
애니릴리프_특대형	NON_INGREDIENT_SPEC
앰플	NON_INGREDIENT_SPEC
에날라프릴말레산염	ENALAPRIL
에녹사파린나트륨	ENOXAPARIN
에독사반토실산염수화물	EDOXABAN
에르도스테인	ERDOSTEINE
에바스틴	EBASTINE
에보글립틴타르타르산염	EVOGLIPTIN
에스몰롤염산염	ESMOLOL
에스시탈로프람옥살산염	ESCITALOPRAM
에스아테놀롤	ATENOLOL
에스오메프라졸나트륨	ESOMEPRAZOLE
에스오메프라졸마그네슘	ESOMEPRAZOLE
에스오메프라졸마그네슘삼수화물	ESOMEPRAZOLE
에스오메프라졸마그네슘이수화물	ESOMEPRAZOLE
에스오메프라졸스트론튬사수화물	ESOMEPRAZOLE
에스트리올	ESTRIOL
에이블	UNKNOWN_INGREDIENT
에이즈	NON_INGREDIENT_SPEC
에제티미브	EZETIMIBE
에제티미브_로수바스타틴	EZETIMIBE_ROSUVASTATIN
에제티미브_로수바스타틴칼슘	EZETIMIBE_ROSUVASTATIN
에제티미브_아토르바스타틴	EZETIMIBE_ATORVASTATIN
에제티미브_아토르바스타틴칼슘삼수화물	EZETIMIBE_ATORVASTATIN
에코나졸_트리암시놀론아세토니드	ECONAZOLE_TRIAMCINOLONE_ACETONIDE
에코나졸질산염	ECONAZOLE
에탄올	ETHANOL
에틸알콜	ETHANOL
에페드린염산염	EPHEDRINE
에피나스틴염산염	EPINASTINE
에피나코나졸	EFINACONAZOLE
에피네프린	EPINEPHRINE
에피네프린타르타르산염	EPINEPHRINE
엔테카비르	ENTECAVIR
엘아스파라긴산엘오르니친	ORNITHINE_ASPARTATE
엠파글리플로진	EMPAGLIFLOZIN
여름옷	APPAREL_TEXTILE
역류방지	NON_INGREDIENT_SPEC
염산노르트립틸린	NORTRIPTYLINE
염산도부타민	DOBUTAMINE
염산레르카니디핀	LERCANIDIPINE
염산록사티딘아세테이트	ROXATIDINE
염산리토드린	RITODRINE
염산메토클로프라미드	METOCLOPRAMIDE
염산모르핀	MORPHINE
염산베녹시네이트	OXYBUPROCAINE
염산부테나핀	BUTENAFINE
염산사포그릴레이트	SARPOGRELATE
염산시프로플록사신	CIPROFLOXACIN
염산아미오다론	AMIODARONE
염산아젤라스틴	AZELASTINE
염산에피네프린액	EPINEPHRINE
염산온단세트론이수화물	ONDANSETRON
염산올로파타딘	OLOPATADINE
염산탐스로신	TAMSULOSIN
염산테라조신	TERAZOSIN
염산테르비나핀	TERBINAFINE
염산트라마돌	TRAMADOL
염산티로프라미드	TIROPRAMIDE
염산푸로파라카인	PROPARACAINE
염산프라목신	PRAMOXINE
염산프로파세타몰	PROPACETAMOL
염산프로피베린	PROPIVERINE
염산플루옥세틴	FLUOXETINE
염산피오글리타존	PIOGLITAZONE
염화칼륨	POTASSIUM_CHLORIDE
예방접종실	NON_INGREDIENT_SPEC
오메프라졸	OMEPRAZOLE
오셀타미비르	OSELTAMIVIR
오셀타미비르인산염	OSELTAMIVIR
오플록사신	OFLOXACIN
옥시라세탐	OXIRACETAM
옥시부티닌염산염	OXYBUTYNIN
옥시부프로카인염산염	OXYBUPROCAINE
옥시코돈염산염	OXYCODONE
옥틸로늄브롬화물	OTILONIUM_BROMIDE
온단세트론염산염	ONDANSETRON
온단세트론염산염수화물	ONDANSETRON
올란자핀	OLANZAPINE
올로파타딘염산염	OLOPATADINE
올메사르탄메독소밀	OLMESARTAN_MEDOXOMIL
올메사탄메독소밀	OLMESARTAN_MEDOXOMIL
올바른투약길잡이	PROMO_MATERIAL
와파린나트륨	WARFARIN
요소	UREA
우레아	UREA
우르소데옥시콜산	URSODEOXYCHOLIC_ACID
울리프리스탈아세테이트	ULIPRISTAL
유데나필	UDENAFIL
유아	NON_INGREDIENT_SPEC
은교산	HANBANG_HERBAL_EXTRACT
이노시플렉스	INOSINE_PRANOBEX
이르베사르탄	IRBESARTAN
이르소글라딘말레산염	IRSOGLADINE
이미다페나신	IMIDAFENACIN
이바브라딘염산염	IVABRADINE
이반드론산나트륨수화물	IBANDRONATE
이반드론산나트륨일수화물	IBANDRONATE
이버멕틴	IVERMECTIN
이베사탄	IRBESARTAN
이소소르비드이질산염	ISOSORBIDE_DINITRATE
이소소르비드이질산염지속과립	ISOSORBIDE_DINITRATE
이소소르비드질산염	ISOSORBIDE_MONONITRATE
이소코나졸질산염	ISOCONAZOLE
이소트레티노인	ISOTRETINOIN
이오메프롤	IOMEPROL
이오버솔	IOVERSOL
이오헥솔	IOHEXOL
이토프리드염산염	ITOPRIDE
이트라코나졸	ITRACONAZOLE
이트라코나졸고체분산체	ITRACONAZOLE
이프라트로퓸브롬화물수화물	IPRATROPIUM_BROMIDE
익스트라신	UNKNOWN_INGREDIENT
인다파미드	INDAPAMIDE
인도메타신	INDOMETHACIN
인디고카르민	INDIGO_CARMINE
인산나트륨에네마	SODIUM_PHOSPHATE_ENEMA
인산알루미늄겔	ALUMINIUM_PHOSPHATE
인산오셀타미비르	OSELTAMIVIR
인산프리마퀸	PRIMAQUINE
인슐린글루리신_유전자재조합	INSULIN_GLULISINE
인슐린데글루덱	INSULIN_DEGLUDEC
인슐린라이스프로	INSULIN_LISPRO
인슐린라이스프로_유전자재조합	INSULIN_LISPRO
인슐린아스파트	INSULIN_ASPART
인슐린아스파트_유전자재조합	INSULIN_ASPART
인타신	UNKNOWN_INGREDIENT
인플루엔자분할백신	INFLUENZA_SPLIT_VACCINE
일라프라졸	ILAPRAZOLE
일반형	NON_INGREDIENT_SPEC
일체형_대형	NON_INGREDIENT_SPEC
일회용	NON_INGREDIENT_SPEC
일회용_개별포장	NON_INGREDIENT_SPEC
자생고	HANBANG_HERBAL_EXTRACT
자석	PROMO_MATERIAL
자스타프라잔시트르산염	ZASTAPRAZAN
자하거가수분해물	HUMAN_PLACENTA_HYDROLYSATE
잘레플론	ZALEPLON
잘토프로펜	ZALTOPROFEN
장바구니	PROMO_MATERIAL
재조합인간상피세포성장인자	HUMAN_EPIDERMAL_GROWTH_FACTOR
저_고	NON_INGREDIENT_SPEC
전규격	NON_INGREDIENT_SPEC
정제브이아이장티푸스백신	TYPHOID_VI_VACCINE
정주용	NON_INGREDIENT_SPEC
제일	MANUFACTURER_NAME_NOISE
졸레드론산일수화물	ZOLEDRONIC_ACID
졸미트립탄	ZOLMITRIPTAN
졸피뎀타르타르산염	ZOLPIDEM
종이	NON_INGREDIENT_SPEC
주사용설박탐나트륨_암피실린나트륨	SULBACTAM_AMPICILLIN
주사용수	WATER_FOR_INJECTION
주석산수소노르에피네프린	NOREPINEPHRINE
중대형	NON_INGREDIENT_SPEC
중형	NON_INGREDIENT_SPEC
지질	NON_INGREDIENT_SPEC
채혈대	MEDICAL_SUPPLY_MISC
철아세틸트랜스페린	IRON_ACETYL_TRANSFERRIN
초록	NON_INGREDIENT_SPEC
초산메게스트롤	MEGESTROL_ACETATE
카르두스마리아누스엑스산	MILK_THISTLE_EXTRACT
카르바마제핀	CARBAMAZEPINE
카르베딜롤	CARVEDILOL
카르복시메칠셀룰로오스나트륨	CARMELLOSE_SODIUM
카르복시메틸셀룰로오스나트륨	CARMELLOSE_SODIUM
카모스타트메실산염	CAMOSTAT
카보머	CARBOMER
카트리지	MEDICAL_SUPPLY_MISC
칸데사르탄실렉세틸	CANDESARTAN_CILEXETIL
칼리디노게나제	KALLIDINOGENASE
칼시트리올	CALCITRIOL
커피향	NON_INGREDIENT_SPEC
컨바텍	WOUND_CARE_BRAND
컬러링북	PROMO_MATERIAL
케논엘	UNKNOWN_INGREDIENT
케어센스	GLUCOSE_TEST_STRIP_BRAND
케어스왑	ANTISEPTIC_SWAB
케토롤락트로메타민	KETOROLAC
케토롤락트로메타민염	KETOROLAC
케토티펜푸마르산염	KETOTIFEN
코다론주	AMIODARONE
코팅된미르타자핀	MIRTAZAPINE
콜레스테롤측정검사지	CHOLESTEROL_TEST_STRIP
콜레칼시페롤	CHOLECALCIFEROL
콜린알포세레이트	CHOLINE_ALFOSCERATE
쿠에티아핀푸마르산염	QUETIAPINE
쿡플러스	NON_INGREDIENT_SPEC
쿨하이	UNKNOWN_INGREDIENT
크로모글리크산나트륨	CROMOGLICATE_SODIUM
크로타미톤	CROTAMITON
클래리스로마이신	CLARITHROMYCIN
클래리트로마이신	CLARITHROMYCIN
클로나제팜	CLONAZEPAM
클로르탈리돈	CHLORTALIDONE
클로르페네신카르바메이트	CHLORPHENESIN_CARBAMATE
클로베타솔프로피오네이트	CLOBETASOL_PROPIONATE
클로피도그렐황산수소염	CLOPIDOGREL
클로피도그렐황산염	CLOPIDOGREL
클로피도글렐황산염	CLOPIDOGREL
클린다마이신염산염	CLINDAMYCIN
클린다마이신포스페이트	CLINDAMYCIN_PHOSPHATE
타크로리무스수화물	TACROLIMUS
탄산수소나트륨	SODIUM_BICARBONATE
탈니플루메이트	TALNIFLUMATE
탐스로신염산염	TAMSULOSIN
태반성성선자극호르몬	CHORIONIC_GONADOTROPIN
테가덤	WOUND_DRESSING_FILM
테고프라잔	TEGOPRAZAN
테나징크크림	ZINC_OXIDE_CREAM
테네리글립틴브롬화수소산염수화물	TENELIGLIPTIN
테네리글립틴염산염수화물	TENELIGLIPTIN
테네리글립틴이토실산염이수화물	TENELIGLIPTIN
테노포비르디소프록실푸마르산염	TENOFOVIR_DISOPROXIL
테노포비르알라페나미드헤미푸마르산염	TENOFOVIR_ALAFENAMIDE
테라조신염산염수화물	TERAZOSIN
테르비나핀	TERBINAFINE
테르비나핀염산염	TERBINAFINE
테리파라타이드아세트산염	TERIPARATIDE
테스토스테론에난테이트	TESTOSTERONE
테오브로민	THEOBROMINE
토르세미드	TORSEMIDE
토브라마이신	TOBRAMYCIN
토지나메란	TOZINAMERAN
토코페롤아세테이트	TOCOPHEROL_ACETATE
