keyword	family_id	display	basis	evidence
신풍겐타마이신	GENTAMICIN	겐타마이신 황산염(외용 항생제)	general_knowledge_unverified	제품명에 겐타마이신황산염크림 명시
신일베타메타손	BETAMETHASONE	베타메타손(부신피질호르몬제)	web_search_2026_07_15	제품명에 베타메타손 명시(신일)
코사로탄플러스	LOSARTAN_HCTZ	로사르탄+HCTZ(고혈압)	general_knowledge_unverified	코사로탄=로사르탄, 플러스=HCTZ
생리식염주사액	SODIUM_CHLORIDE	생리식염주사액	general_knowledge_unverified	0.9% NaCl 수액
위더스아테놀올	ATENOLOL	위더스 아테놀올정	general_knowledge_unverified	명칭에 아테놀올 명시
알보젠돔페리돈	DOMPERIDONE	알보젠 돔페리돈정	general_knowledge_unverified	명칭에 돔페리돈 명시
카네스졸플러스	CLOTRIMAZOLE	카네스졸플러스크림(클로트리마졸+히드로코르티손)	web_search_2026_07_15	항진균+스테로이드 복합
텔로살탄플러스	TELMISARTAN_HCTZ	텔로살탄플러스정(텔미사르탄+HCTZ)	general_knowledge_unverified	ARB+이뇨제
니트로글리세린	NITROGLYCERIN	니트로글리세린설하정	general_knowledge_unverified	설하정
텔미트렌플러스	TELMISARTAN_HCTZ	텔미트렌플러스정(텔미사르탄+HCTZ)	general_knowledge_unverified	ARB+이뇨제
Rubella	CLINICAL_CHEMISTRY_TEST	Rubella(풍진 항체검사)	general_knowledge_unverified	임상검사 항목
Albumin	CLINICAL_CHEMISTRY_TEST	알부민 검사	general_knowledge_unverified	혈청 알부민
아스코르브산주	ASCORBIC_ACID	아스코르브산주사액(비타민C)	general_knowledge_unverified	비타민C 주사
리피도프로파일	LIPID_TEST_STRIP	지질검사(lipid profile)	general_knowledge_unverified	콜레스테롤/중성지방 검사
HemoCue	HEMOGLOBIN_TEST_STRIP	헤모큐 Hb301(혈색소 측정)	general_knowledge_unverified	혈색소 측정
대한에피네프린	EPINEPHRINE	대한에피네프린주사액	general_knowledge_unverified	에피네프린 앰플
Glucose	CLINICAL_CHEMISTRY_TEST	글루코스 검사 시약	general_knowledge_unverified	임상화학 혈당검사 시약
CERAD-K	NON_INGREDIENT_SPEC	CERAD-K 신경심리평가집	general_knowledge_unverified	치매 평가도구(비의약품)
일회용 검진복	APPAREL_TEXTILE	일회용 검진복	general_knowledge_unverified	비의약품 검진복
세자르플러스	LOSARTAN_HCTZ	로사르탄+히드로클로로티아지드(고혈압 복합제)	web_search_2026_07_15	세자르플러스정=로사르탄칼륨50/HCTZ12.5, health.kr A11APPPPP0229
프라임오메가	OMEGA3_FATTY_ACID	오메가-3-산에틸에스테르(고지혈/영양)	general_knowledge_unverified	제품명에 오메가-3-산에틸에스테르90 명기
로잘핀플러스	LOSARTAN_HCTZ	로사르탄+HCTZ(고혈압)	general_knowledge_unverified	로살+플러스(HCTZ) 패턴
프라바페닉스	PRAVASTATIN_FENOFIBRATE	프라바스타틴+페노피브레이트(이상지질혈증)	general_knowledge_unverified	Pravafenix 복합제, 유영제약
바레탄플러스	VALSARTAN_HCTZ	발사르탄+HCTZ(고혈압)	general_knowledge_unverified	발탄80+플러스(HCTZ12.5), 씨티씨바이오
모르핀염산염	MORPHINE	모르핀염산염수화물주사	general_knowledge_unverified	모르핀 주사제
고지혈증스틱	LIPID_TEST_STRIP	고지혈증 스틱	general_knowledge_unverified	지질 측정 스트립
빈혈측정스틱	HEMOGLOBIN_TEST_STRIP	빈혈 측정스틱	general_knowledge_unverified	혈색소 측정
영유아정장제	PROBIOTICS	영유아 정장제(유산균)	general_knowledge_unverified	정장생균/유산균
온누리상품권	PROMO_MATERIAL	온누리상품권(비의료)	general_knowledge_unverified	지역 상품권
Hemo Q	HEMOGLOBIN_TEST_STRIP	Hemo Q 헤모글로빈 검사	general_knowledge_unverified	Hb 측정 검사
일화세파클러	CEFACLOR	일화세파클러캅셀(세파클러)	general_knowledge_unverified	세파클러 항생제
포도당주사액	GLUCOSE	포도당주사액(포도당)	general_knowledge_unverified	5% 덱스트로스 수액
신일비사코딜	BISACODYL	비사코딜(자극성 완하제)	general_knowledge_unverified	제품명에 비사코딜5mg 명시
미르토플러스	TELMISARTAN_HCTZ	텔미사르탄/HCT(고혈압)	web_search_2026_07_15	health.kr 미르토플러스40/12.5=텔미사르탄+HCTZ
콤비글라이즈	SAXAGLIPTIN_METFORMIN	삭사글립틴/메트포르민	general_knowledge_unverified	Kombiglyze XR=삭사글립틴5+메트포르민1000 서방
안티피라세미	TRAMADOL_ACETAMINOPHEN	트라마돌/아세트아미노펜(진통, 세미)	general_knowledge_unverified	안티피라 세미(저용량)=트라마돌/아세트아미노펜
Lanset	LANSOPRAZOLE	란소프라졸(PPI)	web_search_2026_07_15	란소프라졸30mg, health.kr
바사탄플러스	VALSARTAN_HCTZ	발사르탄+HCTZ(고혈압 복합제)	general_knowledge_unverified	바사탄=valsartan, plus80/12.5=HCTZ
코스카이엑스	LOSARTAN_AMLODIPINE	로사르탄+암로디핀(고혈압 복합제)	general_knowledge_unverified	코스카=코자(losartan), 5/50
대웅아테놀올	ATENOLOL	아테놀올(베타차단제)	web_search_2026_07_15	제품명에 아테놀올 명시(대웅25mg)
본디칼플러스	CALCIUM_VITAMIN_D	칼슘+비타민D(칼슘보충제)	general_knowledge_unverified	본디칼=bone+cal, 칼슘·비타민D 복합
코로자플러스	LOSARTAN_HCTZ	로사르탄+HCTZ(고혈압 복합제)	general_knowledge_unverified	코자플러스 계열=로사르탄/HCTZ
칸데칸플러스	CANDESARTAN_HCTZ	칸데사르탄+HCTZ(고혈압 복합제)	general_knowledge_unverified	칸데칸=candesartan, plus16/12.5=HCTZ
리노에바티스	COLD_COMBO_ANTIHISTAMINE_DECONGESTANT	슈도에페드린+에바스틴(항히스타민 비염약)	web_search_2026_07_15	슈도에페드린120+에바스틴10, 메디카코리아
텔미토플러스	TELMISARTAN_HCTZ	텔미사르탄+HCTZ(고혈압)	general_knowledge_unverified	텔미+플러스40/12.5=HCTZ, 일성신약
케펨플라스타	KETOPROFEN	케토프로펜 첩부제(NSAID 파스)	general_knowledge_unverified	케펨플라스타=케토프로펜 첩부제(케펜텍/케토톱 계열)
대한생리식염	SODIUM_CHLORIDE	대한 생리식염주사액(0.9% 염화나트륨)	general_knowledge_unverified	0.9% NaCl 수액
중외생리식염	SODIUM_CHLORIDE	중외 0.9% 생리식염주사액	general_knowledge_unverified	0.9% NaCl 수액
제일생리식염	SODIUM_CHLORIDE	제일제약 생리식염주사액	general_knowledge_unverified	0.9% NaCl 수액
아스코르브산	ASCORBIC_ACID	아스코르브산주사액(비타민C)	general_knowledge_unverified	비타민C 주사
삼진디아제팜	DIAZEPAM	삼진 디아제팜주	general_knowledge_unverified	명칭에 디아제팜 명시
신풍트라마돌	TRAMADOL	신풍 트라마돌염산염주	general_knowledge_unverified	명칭에 트라마돌 명시
빈혈검사스틱	HEMOGLOBIN_TEST_STRIP	빈혈검사스틱	general_knowledge_unverified	헤모글로빈 측정지
하원세티리진	CETIRIZINE	하원세티리진정(세티리진)	general_knowledge_unverified	항히스타민
케이엠시프겔	METHYL_SALICYLATE	케이엠시프겔(생약 국소진통 겔)	web_search_2026_07_15	생약 국소진통
펜클리어맥스	TRAMADOL_ACETAMINOPHEN	펜클리어맥스정(트라마돌+아세트아미노펜)	web_search_2026_07_15	진통제
소독스프레이	ALCOHOL_ETHANOL_CHEMICAL	소독 스프레이	general_knowledge_unverified	피부/표면 소독제
소변검사키트	URINE_TEST_STRIP	소변검사 키트	general_knowledge_unverified	요검사 스트립
아로나민골드	VITAMIN_B_COMPLEX	아로나민골드(비타민B복합)	general_knowledge_unverified	종합비타민B
대웅아테놀롤	ATENOLOL	대웅아테놀롤정(아테놀롤)	general_knowledge_unverified	베타차단제
미션토탈콜레	LIPID_TEST_STRIP	미션토탈콜레(지질 스트립)	general_knowledge_unverified	Mission 지질측정 스트립
스모프리피드	FAT_EMULSION	스모프리피드주(지방유제)	general_knowledge_unverified	SMOFlipid 정맥영양 지방유제
신생아디데이	PROMO_MATERIAL	신생아 D-day 달력(판촉물)	general_knowledge_unverified	비의약품 판촉물
텔미스타엑스	TELMISARTAN_AMLODIPINE	텔미스타엑스정(텔미사르탄/암로디핀)	general_knowledge_unverified	ARB+CCB 복합
비타바이탈씨	ASCORBIC_ACID	비타바이탈씨과립(비타민C)	general_knowledge_unverified	비타민C 과립
아스트릭스	ASPIRIN	아스피린장용(항혈전제)	general_knowledge_unverified	보령 아스트릭스캡슐100mg=저용량 아스피린
세레콕시브	CELECOXIB	세레콕시브(COX-2 억제 소염진통제)	general_knowledge_unverified	조아세레콕시브캡슐200mg=성분명 표기
아나프록스	NAPROXEN	나프록센(소염진통제)	general_knowledge_unverified	종근당 아나프록스=나프록센
큐라민골드	MULTIVITAMIN_MINERAL	종합비타민·미네랄 영양제	general_knowledge_unverified	골드정 종합영양제 패턴
마이니철분	IRON_SUPPLEMENT	철분제	general_knowledge_unverified	명칭에 철분 명시
하이드로핀	FELODIPINE	펠로디핀(고혈압·협심증)	web_search_2026_07_15	펠로디핀 SR, 미래제약
프레시민트	MOUTHWASH_ANTISEPTIC	프레시민트 구강청결제	general_knowledge_unverified	구강청결제
올케어크림	SKINCARE_COSMETIC_TOPICAL	올케어크림(보습크림)	general_knowledge_unverified	보습 외용크림
한방습포제	HANBANG_MIXED_HERBAL_EXTRACT	한방습포제	general_knowledge_unverified	한방 외용 습포
오가닉내의	APPAREL_TEXTILE	오가닉 내의	general_knowledge_unverified	의류/섬유
클라미디아	CLINICAL_CHEMISTRY_TEST	클라미디아 검사	general_knowledge_unverified	클라미디아 진단검사
소경활혈탕	HANBANG_MIXED_HERBAL_EXTRACT	소경활혈탕(한방 처방)	general_knowledge_unverified	한방 탕제
전기찜질기	ELECTRONIC_DEVICE_COMPONENT	전기 찜질기	general_knowledge_unverified	전기 온열 기기
리피도케어	LIPID_TEST_STRIP	리피도케어(총콜레스테롤 검사)	general_knowledge_unverified	지질 측정
혈압계용지	NON_INGREDIENT_SPEC	혈압계 기록용지	general_knowledge_unverified	혈압계 소모 용지
제놀푸로탑	FLURBIPROFEN	제놀푸로탑플라스타(플루르비프로펜)	web_search_2026_07_15	플루르비프로펜 첩부제
보중익기탕	HANBANG_MIXED_HERBAL_EXTRACT	보중익기탕(단미엑스산)	general_knowledge_unverified	한방 엑스산
소변kit	URINE_TEST_STRIP	소변 검사 키트	general_knowledge_unverified	요검사 스트립
엔에스주사	SODIUM_CHLORIDE	NS주사액(생리식염수)	general_knowledge_unverified	NS=0.9% 생리식염수
로페라미드	LOPERAMIDE	로페라미드염산염캡슐(로페라미드)	general_knowledge_unverified	지사제
제일파프쿨	METHYL_SALICYLATE	제일파프 쿨(냉감 파스)	general_knowledge_unverified	멘톨/살리실산메틸 첩부
빈혈검사지	HEMOGLOBIN_TEST_STRIP	빈혈 측정 검사지	general_knowledge_unverified	Hb 측정 검사지
제스판골드	DIGESTIVE_ENZYME	소화효소 복합(소화제)	web_search_2026_07_15	doctornow 제스판골드정 소화효소 복합제
메가폴민정	METFORMIN	메트포르민(당뇨병약)	web_search_2026_07_15	한미 메가폴민=메트포르민염산염
에이엠살탄	TELMISARTAN_AMLODIPINE	텔미사르탄/암로디핀(고혈압)	web_search_2026_07_15	nedrug 에이엠살탄정40/5=텔미사르탄+암로디핀
그리메피드	GLIMEPIRIDE	글리메피리드(당뇨병약)	general_knowledge_unverified	그리메피~=glimepiride 명명패턴
아스트라셋	TRAMADOL_ACETAMINOPHEN	트라마돌/아세트아미노펜(진통제)	web_search_2026_07_15	신텍스 아스트라셋정=아세트아미노펜325/트라마돌37.5
하이그로톤	CHLORTHALIDONE	클로르탈리돈(이뇨제)	general_knowledge_unverified	Hygroton=클로르탈리돈 티아지드계 이뇨제
듀오락스정	BISACODYL	비사코딜(자극성 변비약)	general_knowledge_unverified	Dulcolax 유사 비사코딜계
메디락에스	PROBIOTICS	정장생균제(유산균)	general_knowledge_unverified	메디락=프로바이오틱스 정장제
칸타플러스	CANDESARTAN_HCTZ	칸데사르탄/HCTZ(고혈압복합)	general_knowledge_unverified	16/12.5 칸데사르탄+HCTZ
버물리에스	INSECT_BITE_TOPICAL_UNCONFIRMED	국소 항소양제(벌레물림)	general_knowledge_unverified	버물리에스액=디펜히드라민/멘톨 등 벌레물림 진양액
테리글메트	TENELIGLIPTIN_METFORMIN	테네리글립틴/메트포르민	web_search_2026_07_15	신풍 테리글메트서방정=테네리글립틴+메트포르민
안티피라정	TRAMADOL_ACETAMINOPHEN	트라마돌/아세트아미노펜(진통)	web_search_2026_07_15	health.kr 안티피라정=트라마돌37.5+아세트아미노펜325
코바로살탄	VALSARTAN_HCTZ	발사르탄/HCTZ(고혈압복합)	general_knowledge_unverified	160/12.5=발사르탄160+HCTZ
셀미플러스	TELMISARTAN_HCTZ	텔미사르탄+HCTZ(고혈압 복합제)	general_knowledge_unverified	셀미(telmisartan)+plus 80/12.5
글루코파지	METFORMIN	메트포르민(당뇨)	web_search_2026_07_15	한국머크 글루코파지=Glucophage 메트포르민 오리지널
뉴아토르젯	ATORVASTATIN_EZETIMIBE	아토르바스타틴+에제티미브(이상지질혈증)	general_knowledge_unverified	아토젯 계열 10/10
레바미피드	REBAMIPIDE	레바미피드(위점막보호제)	general_knowledge_unverified	제품명에 레바미피드 명시, 알피코프
렉스파지큐	VALSARTAN_AMLODIPINE	발사르탄+암로디핀(고혈압 복합제)	web_search_2026_07_15	영풍 렉스파지큐=암로디핀/발사르탄(5/80·5/160)
테디엠메트	TENELIGLIPTIN_METFORMIN	테네리글립틴+메트포르민(당뇨 복합제)	web_search_2026_07_15	동화 테디엠메트서방=테네리글립틴/메트포르민
에스글리토	EMPAGLIFLOZIN_LINAGLIPTIN	엠파글리플로진+리나글립틴(당뇨 복합제)	web_search_2026_07_15	베링거 에스글리토10/5=엠파글리플로진/리나글립틴
토피라맥스	TOPIRAMATE	토피라메이트(항전간제/편두통)	general_knowledge_unverified	토피라맥스=토피라메이트25mg 대표 브랜드
에피네프린	EPINEPHRINE	에피네프린주사액	general_knowledge_unverified	명칭에 에피네프린 명시
고운자임맘	MULTIVITAMIN_MINERAL	고운자임맘정(임산부 종합영양제)	web_search_2026_07_15	엽산·철분·비타민D 등 임산부 종합영양제
쎄레스톤지	BETAMETHASONE_GENTAMICIN	쎄레스톤지크림(베타메타손+겐타마이신)	general_knowledge_unverified	Celestone-G
엘린플러스	CLOTRIMAZOLE	엘린플러스크림(클로트리마졸+히드로코르티손)	web_search_2026_07_15	항진균+스테로이드 복합
소변검사지	URINE_TEST_STRIP	소변검사지(요검사 스트립)	general_knowledge_unverified	요검사 시험지
구루메포민	METFORMIN	구루메포민정(메트포르민)	general_knowledge_unverified	당뇨약
다이아제타	DIGESTIVE_ENZYME	다이아제타산제(소화효소 산제)	general_knowledge_unverified	디아스타제계 소화효소
미션울트라	CONDOM	미션울트라(초박형 콘돔)	web_search_2026_07_15	콘돔
다이제스트	DIGESTIVE_ENZYME	다이제스트정(복합 소화효소제)	general_knowledge_unverified	소화효소제
다이제스칸	DIGESTIVE_ENZYME	다이제스칸정(복합 소화효소제)	general_knowledge_unverified	소화효소제
한방동의고	METHYL_SALICYLATE	한방동의고카타플라스마(생약 소염진통 첩부제)	web_search_2026_07_15	생약 파스
드레싱포셉	WOUND_DRESSING	드레싱포셉키트(창상처치 소모품)	general_knowledge_unverified	상처치료 소모품
위너프페리	PARENTERAL_NUTRITION	위너프페리주(말초 정맥영양)	general_knowledge_unverified	3챔버 정맥영양
니코파인드	NICOTINE_REPLACEMENT	니코파인드(금연 니코틴보조제)	general_knowledge_unverified	금연보조
칼라민로션	CALAMINE	칼라민로션	general_knowledge_unverified	피부보호·진양
메디프로텍	WOUND_DRESSING_FILM	메디프로텍 창상피복재	general_knowledge_unverified	투명필름 드레싱
천왕보심단	HANBANG_MIXED_HERBAL_EXTRACT	천왕보심단(한방)	general_knowledge_unverified	한약 처방
아토베리어	SKINCARE_COSMETIC_TOPICAL	아토베리어 로션(보습)	general_knowledge_unverified	보습 로션
불화나트륨	FLUORIDE_DENTAL	불화나트륨(불소)	general_knowledge_unverified	충치예방 불소
위생방수지	HYGIENE_TISSUE	위생 방수지	general_knowledge_unverified	위생소모품
구미강활탕	HANBANG_MIXED_HERBAL_EXTRACT	구미강활탕(단미엑스산)	general_knowledge_unverified	한방 엑스산
slide	LAB_SLIDE_GLASS	슬라이드글라스	general_knowledge_unverified	현미경 슬라이드
킴와이프스	LAB_WIPE	킴와이프스(실험용 와이퍼)	general_knowledge_unverified	Kimwipes
식염포도당	DEXTROSE_SALINE	포도당생리식염수	general_knowledge_unverified	포도당+식염 수액
콤비플렉스	PARENTERAL_NUTRITION	콤비플렉스MCT페리주(TPN)	general_knowledge_unverified	3챔버 영양수액
브로멜라인	BROMELAIN	브로멜라인장용정(소염효소)	general_knowledge_unverified	소염효소제
맨담한방고	METHYL_SALICYLATE	맨담한방고(살리실산메틸 첩부제)	general_knowledge_unverified	한방 소염진통
니코틴패치	NICOTINE_REPLACEMENT	니코틴패치(경피)	general_knowledge_unverified	금연 니코틴 경피패치
전자혈압계	ELECTRONIC_DEVICE_COMPONENT	전자혈압계	general_knowledge_unverified	의료기기 혈압측정기
한풍팔물탕	HANBANG_MIXED_HERBAL_EXTRACT	한풍팔물탕(단미엑스산)	general_knowledge_unverified	한약 엑스산제
가미귀비탕	HANBANG_MIXED_HERBAL_EXTRACT	가미귀비탕(한약)	general_knowledge_unverified	한약 처방
아기오과립	PSYLLIUM_HUSK	아기오과립(차전자피)	general_knowledge_unverified	팽창성 완하제
노바스핀	AMLODIPINE	암로디핀(칼슘길항제 혈압강하제)	web_search_2026_07_15	노바스핀정5mg=암로디핀베실산염, nedrug 200700439
세자르정	LOSARTAN	로사르탄칼륨(ARB 혈압강하제)	web_search_2026_07_15	세자르정50mg=로사르탄칼륨, druginfo pid=44487
메트로정	METRONIDAZOLE	메트로니다졸(항생/항원충제)	general_knowledge_unverified	메트로정500mg 표준 메트로니다졸 제네릭 명명
듀얼아미	TELMISARTAN_AMLODIPINE	텔미사르탄/암로디핀(고혈압 복합제)	general_knowledge_unverified	아미+40/5 규격=텔미사르탄40/암로디핀5 복합제 패턴
레프로진	레보드로프로피진	레보드로프로피진(진해제)	web_search_2026_07_15	레프로진정=레보드로프로피진60mg, 위더스제약/health.kr
암로텔미	TELMISARTAN_AMLODIPINE	텔미사르탄/암로디핀(고혈압 복합제)	general_knowledge_unverified	암로+텔미+40/5 규격 복합제 명명
티티아민	VITAMIN_B_COMPLEX	푸르설티아민+비타민B군(종합비타민)	web_search_2026_07_15	티티아민정=푸르설티아민/리보플라빈 등 B군, munyak 200400067
바로스크	AMLODIPINE	암로디핀(칼슘길항제 혈압강하제)	web_search_2026_07_15	바로스크정5mg=현대약품 CCB(노바스크 제네릭)
프레나정	METHYLPREDNISOLONE	메틸프레드니솔론(부신피질호르몬제)	web_search_2026_07_15	프레나정=메틸프레드니솔론4mg, nedrug 200300814
엑소페린	EPERISONE	에페리손염산염(근이완제)	web_search_2026_07_15	엑소페린정=에페리손염산염50mg, 한미약품 A11AHHHHH0352
튜비스투	RIFAMPICIN_ISONIAZID	리팜피신+이소니아지드(결핵 복합제)	web_search_2026_07_15	튜비스투정150/300=이소니아지드150/리팜피신300, doctornow
울트라핀	TRAMADOL_ACETAMINOPHEN	트라마돌/아세트아미노펜(진통제)	web_search_2026_07_15	울트라핀정=트라마돌염산염+아세트아미노펜, health.kr 2015060300178
투투스타	TELMISARTAN_AMLODIPINE	텔미사르탄/암로디핀(트윈스타 제네릭)	general_knowledge_unverified	40/5 규격 텔미사르탄/암로디핀 복합제 패턴
레드로프	레보드로프로피진	레보드로프로피진(진해시럽)	web_search_2026_07_15	레드로프시럽=레보드로프로피진6mg/mL, nedrug 200102289
아트락트	CHLORPHENESIN_CARBAMATE	클로르페네신카르바메이트(근이완제)	web_search_2026_07_15	아트락트정=클로르페네신카르바메이트, nedrug 199602015
알리코프	레보드로프로피진	레보드로프로피진(진해제)	web_search_2026_07_15	알리코프정=레보드로프로피진60mg, nedrug 200700459
카민산정	CHLORPHENESIN_CARBAMATE	클로르페네신카르바메이트(근이완제)	web_search_2026_07_15	카민산정250mg=클로르페네신카르바메이트, health.kr A11A2240B0090
메가트리	OMEGA3_FATTY_ACID	오메가-3-산에틸에스테르(고지혈/영양)	general_knowledge_unverified	제품명에 오메가-3-산에틸에스테르90 명기
비타메진	VITAMIN_B_COMPLEX	벤포티아민 등 비타민B군(활성비타민)	general_knowledge_unverified	비타메진캡슐50mg=이노엔 활성비타민B복합제
케어타민	VITAMIN_UNSPECIFIED	종합비타민(추정)	unresolved	타민 어미+제형으로 종합비타민 추정, 특정 제품 미확인
파모시드	FAMOTIDINE	파모티딘(H2차단 위산분비억제제)	general_knowledge_unverified	파모+20mg=파모티딘 표준 명명/용량
에도스텐	ERDOSTEINE	에르도스테인(진해거담제)	general_knowledge_unverified	에도스텐=에르도스테인 제네릭 명명 패턴
아임마미	IRON_SUPPLEMENT	철분보충제(임부용)	general_knowledge_unverified	아임마미 철분=임부 철분보충제
레보텐션	AMLODIPINE	에스암로디핀베실산염(혈압강하제)	web_search_2026_07_15	레보텐션정2.5mg=S-암로디핀베실산염, 안국약품 munyak 200606326
그루타제	DIGESTIVE_ENZYME	판크레아틴+셀룰라제+우담즙+디메티콘(소화효소제)	web_search_2026_07_15	그루타제정=판크레아틴175/셀룰라제/우담즙/디메티콘, glpharma
판코타제	DIGESTIVE_ENZYME	판크레아틴(소화효소제)	web_search_2026_07_15	판코타제정=판크레아틴 소화효소제, health.kr 2009071505699
아스타펜	ACETAMINOPHEN	아세트아미노펜(해열진통제)	web_search_2026_07_15	아스타펜정325mg=아세트아미노펜제피세립325mg, munyak 199601338
알레세틴	LEVOCETIRIZINE	레보세티리진(항히스타민제)	general_knowledge_unverified	알레+세틴+5mg=레보세티리진 표준 명명/용량
제미글로	GEMIGLIPTIN	제미글립틴(DPP-4 억제 당뇨병약)	web_search_2026_07_15	제품명에 제미글립틴타르타르산염 명기(50mg)
오로살탄	VALSARTAN_AMLODIPINE	발사르탄+암로디핀(고혈압 복합제)	web_search_2026_07_15	오로살탄정5/80=발사르탄80+암로디핀오로트산염, health.kr
암브렉트	AMBROXOL	암브록솔염산염(진해거담제)	general_knowledge_unverified	암브=암브록솔 제네릭 명명 패턴(동화약품)
